Colony,Disease,Species,Source,Genotype.Label,Region,Site ,Genotype
1080,3,PC,UM,5,6,3,PC5
1082,0,PC,FWC,1SWG,6,3,PC1SWG
1084,1,PC,FWC,17,6,3,PC17
1085,2,PC,MML,1,6,3,PC1
1086,1,PC,FWC,11,6,3,PC11
1094,0,PC,RR,3,6,3,PC3
1107,0,PC,MML,12,6,4,PC12
1109,0,PC,UM,2,6,4,PC2
1110,1,PC,RR,13,6,4,PC13
1114,0,PC,UM,6,6,4,PC6
1115,1,PC,FWC,26,6,4,PC26
1119,0,PC,UM,3,6,4,PC3
1130,0,PC,FWC,30,6,4,PC30
1134,3,PC,RR,3,6,4,PC3
1139,0,PC,FWC,18,6,4,PC18
1149,0,PC,MML,17,6,4,PC17
1151,0,PC,FWC,1,6,4,PC1
1226,0,PC,RR,14,2,2,PC14
1237,0,PC,RR,14,2,3,PC14
1462,1,PC,FWC,11,6,3,PC11
1092,0,,,,6,3,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
